2022-09-01 00:06:23,ecarlesi,url,https://aibili.shop,#phishing,https://twitter.com/ecarlesi/status/1565128901260722176
2022-09-01 00:06:27,quicksandphish,url,https://unilorintaxclub.com.ng/wp/index.php,#phishing,https://twitter.com/quicksandphish/status/1565128917454753792
2022-09-01 00:11:12,ecarlesi,url,http://charactcer.shop,#phishing,https://twitter.com/ecarlesi/status/1565130113271971841
2022-09-01 00:15:02,HeliosCert,sha256,bc30cec1fe6f606eb59a7732532285ad3be4e265b0bb328791e7c38981d3e2d3,#malware,https://twitter.com/HeliosCert/status/1565131080390295554
2022-09-01 00:15:09,RdpSnitch,ip,165.227.225.29,,https://twitter.com/RdpSnitch/status/1565131109104586754
2022-09-01 00:15:09,RdpSnitch,ip,50.192.249.118,,https://twitter.com/RdpSnitch/status/1565131109104586754
2022-09-01 00:15:09,RdpSnitch,ip,47.242.107.32,,https://twitter.com/RdpSnitch/status/1565131109104586754
2022-09-01 00:15:10,RdpSnitch,ip,142.93.8.59,,https://twitter.com/RdpSnitch/status/1565131110354505731
2022-09-01 00:15:29,ecarlesi,url,https://ortizwomens.com,#phishing,https://twitter.com/ecarlesi/status/1565131190025289728
2022-09-01 00:26:28,ecarlesi,url,http://atweb-dlsneyplus.info,#phishing,https://twitter.com/ecarlesi/status/1565133956089012225
2022-09-01 00:27:11,ecarlesi,url,http://nobullfrsoldes.fr/nobul.zip,#phishing,https://twitter.com/ecarlesi/status/1565134136771223552
2022-09-01 00:27:35,ecarlesi,url,http://aide-renouvellement.fr,#phishing,https://twitter.com/ecarlesi/status/1565134235723337729
2022-09-01 00:29:33,ecarlesi,url,https://servicev3-carte.fr,#phishing,https://twitter.com/ecarlesi/status/1565134733180551168
2022-09-01 00:31:51,ecarlesi,url,https://upch0b6ssl.biz/,#phishing,https://twitter.com/ecarlesi/status/1565135312464093184
2022-09-01 00:35:04,HeliosCert,sha256,71ef590b32ef90a021be7bafd074b7698ffefab7f935e371568bef5eb2543f19,#malware,https://twitter.com/HeliosCert/status/1565136120094023680
2022-09-01 00:38:53,ecarlesi,url,https://omllnerbcz.com/,#phishing,https://twitter.com/ecarlesi/status/1565137080249892864
2022-09-01 00:39:28,PhishStats,url,http://fortexz.co.vu/,#phishing,https://twitter.com/PhishStats/status/1565137225880330240
2022-09-01 00:39:28,PhishStats,ip,20.29.101.173,#phishing,https://twitter.com/PhishStats/status/1565137225880330240
2022-09-01 00:40:01,ecarlesi,url,https://omllnerbcz.com/gaas/authorize/login/,#phishing,https://twitter.com/ecarlesi/status/1565137367165542400
2022-09-01 00:42:04,romonlyht,ip,104.21.13.177,#phishing,https://twitter.com/romonlyht/status/1565137880816963584
2022-09-01 00:42:04,romonlyht,ip,152.32.159.17,#phishing,https://twitter.com/romonlyht/status/1565137880816963584
2022-09-01 00:42:04,romonlyht,url,https://my-jcb-co-jp.ffjuxm.com/?jcb.login=ov3exte.id=dxut6be,#phishing,https://twitter.com/romonlyht/status/1565137880816963584
2022-09-01 00:42:40,ecarlesi,url,https://omllnerbcz.com/robots.txt,#phishing,https://twitter.com/ecarlesi/status/1565138034105933826
2022-09-01 00:43:20,ecarlesi,url,https://onllnerbcz.com/,#phishing,https://twitter.com/ecarlesi/status/1565138201404395520
2022-09-01 00:44:45,ecarlesi,url,https://eastlucylsz.buzz/,#phishing,https://twitter.com/ecarlesi/status/1565138557064384513
2022-09-01 00:45:27,pingineer_jp,ip,209.141.45.55,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138731773833216
2022-09-01 00:45:27,pingineer_jp,domain,omazon.qvufxvs.cn,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138731773833216
2022-09-01 00:45:33,pingineer_jp,domain,gajsya.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138758348918784
2022-09-01 00:45:33,pingineer_jp,ip,198.55.103.160,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138758348918784
2022-09-01 00:45:34,ecarlesi,url,https://eastlucylsz.buzz/_wildcard_/,#phishing,https://twitter.com/ecarlesi/status/1565138761117319171
2022-09-01 00:45:38,pingineer_jp,domain,fzkjmu.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138780700672000
2022-09-01 00:45:44,pingineer_jp,ip,155.94.196.251,#phishing #scam,https://twitter.com/pingineer_jp/status/1565138803152797697
