2024-05-22 00:04:21,malpulse,ip,109.107.181.111,#malware,https://twitter.com/malpulse/status/1793070356523057663
2024-05-22 00:23:37,kubotaa3,domain,mufg-account.com,#phishing,https://twitter.com/kubotaa3/status/1793075206921290057
2024-05-22 00:23:37,kubotaa3,url,https://mufg-account.com,#phishing,https://twitter.com/kubotaa3/status/1793075206921290057
2024-05-22 00:23:37,kubotaa3,ip,193.143.1.205,#phishing,https://twitter.com/kubotaa3/status/1793075206921290057
2024-05-22 00:29:00,harugasumi,domain,ukopjsy.top,#phishing,https://twitter.com/harugasumi/status/1793076560448413822
2024-05-22 00:29:00,harugasumi,url,https://www.ukopjsy.top,#phishing,https://twitter.com/harugasumi/status/1793076560448413822
2024-05-22 00:29:43,Metemcyber,url,https://www.bhalisr.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,domain,bhalisr.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,domain,askcemx.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,url,https://www.adwxvyh.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,url,https://www.askcemx.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,url,https://www.45blch.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,domain,45blch.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,url,https://www.05vv.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,domain,05vv.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:29:43,Metemcyber,domain,adwxvyh.top,#phishing,https://twitter.com/Metemcyber/status/1793076742279856317
2024-05-22 00:36:12,Metemcyber,url,https://www.zkhi0x.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,domain,zkhi0x.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,url,https://www.zepozqw.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,domain,zepozqw.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,url,https://www.zagaxjf.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,url,https://www.yzdkcis.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,domain,yzdkcis.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,url,https://www.xqbczfe.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,domain,xqbczfe.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:12,Metemcyber,domain,zagaxjf.top,#phishing,https://twitter.com/Metemcyber/status/1793078373083979880
2024-05-22 00:36:30,Metemcyber,ip,43.133.190.118,#phishing,https://twitter.com/Metemcyber/status/1793078448052990275
2024-05-22 00:36:30,Metemcyber,url,http://43.133.190.118,#phishing,https://twitter.com/Metemcyber/status/1793078448052990275
2024-05-22 00:36:30,Metemcyber,url,https://www.zpjujju.top,#phishing,https://twitter.com/Metemcyber/status/1793078448052990275
2024-05-22 00:36:30,Metemcyber,domain,zpjujju.top,#phishing,https://twitter.com/Metemcyber/status/1793078448052990275
2024-05-22 00:50:54,harugasumi,url,https://somosdigicable.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,somosdigicable.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,plastilinamedia.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://oilspeculator.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,oilspeculator.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://galaxyitzone.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://plastilinamedia.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://formosohomes.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,formosohomes.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://elgonwebservices.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,elgonwebservices.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,url,https://educeelectrical.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,educeelectrical.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:50:54,harugasumi,domain,galaxyitzone.com,#phishing,https://twitter.com/harugasumi/status/1793082071969300915
2024-05-22 00:51:21,harugasumi,ip,43.133.4.62,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,url,https://wipbetgirisyap.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,domain,wipbetgirisyap.com,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,url,https://unbeatentech.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,domain,viniciusvarella.com,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,domain,unbeatentech.com,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 00:51:21,harugasumi,url,https://viniciusvarella.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793082183323906495
2024-05-22 01:46:55,johnk3r,sha256,33eb19b9fbe388460db541fb337ed4aebcb3c7b3553398f040efa9a504644d24,,https://twitter.com/johnk3r/status/1793096170191175715
2024-05-22 02:20:21,ScumBots,sha256,d422eaabc8ad234cbfe79ef20dbbd6386fa5a367c9da869a33cac7379830a6d7,#Njrat,https://twitter.com/ScumBots/status/1793104581267689729
2024-05-22 02:20:21,ScumBots,domain,4.tcp.eu.ngrok.io:17748,#Njrat,https://twitter.com/ScumBots/status/1793104581267689729
2024-05-22 02:20:21,ScumBots,url,http://4.tcp.eu.ngrok.io:17748,#Njrat,https://twitter.com/ScumBots/status/1793104581267689729
2024-05-22 03:25:37,SarlackLab,url,http://35.158.159.254:17748,#Njrat,https://twitter.com/SarlackLab/status/1793121008515227803
2024-05-22 03:25:37,SarlackLab,ip,35.158.159.254,#Njrat,https://twitter.com/SarlackLab/status/1793121008515227803
2024-05-22 03:41:20,harugasumi,domain,abslventure.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://abslventure.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,ayrshirefood.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://ayrshirefood.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,classacredit.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://classacredit.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,goalactivator.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://goalactivator.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,liferiskarchitects.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://liferiskarchitects.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,minyakwangimurah.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://minyakwangimurah.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,myevokeevents.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
